,run_day,minT,maxT,srad,co2,DOY,lagged_precip,Lai_loss,burnt_area_fraction,21d_minT,21d_photoperiod,21d_vpd,Forest_mgmt_after_clearing,Mean_T,doy,mint_C,maxt_C
2018-12-16,721.0,5.967686244419643,9.544228690011161,3.080807,409.08,356.0,-9999.0,0.31,-9999.0,279.2159254424426,28359.844557973203,109.10336044207722,-9999.0,-9999.0,350,5.967686244419643,9.544228690011161
2018-12-23,728.0,5.52392578125,9.748238699776786,3.277694,409.43,363.0,-9999.0,0.01,-9999.0,278.93657085392744,28001.689878750076,101.98470360892158,-9999.0,-9999.0,357,5.52392578125,9.748238699776786
2018-12-30,735.0,1.6588483537946428,6.615500313895089,3.9630859999999997,409.78,365.0,-9999.0,0.0,-9999.0,278.30607789746756,27913.470770085492,83.90345066096506,-9999.0,-9999.0,364,1.6588483537946428,6.615500313895089
2019-01-06,742.0,2.6209237234933034,7.763375418526786,3.8836109999999997,410.13,12.0,-9999.0,0.05,-9999.0,276.9754612513951,28099.20056836898,73.42329315912157,-9999.0,-9999.0,6,2.6209237234933034,7.763375418526786
2019-01-13,749.0,2.9039829799107144,7.564187186104911,4.964664,410.47999999999996,19.0,-9999.0,0.18,-9999.0,275.9915257460406,28550.490949579023,87.4471047330065,-9999.0,-9999.0,13,2.9039829799107144,7.564187186104911
2019-01-20,756.0,2.6007254464285716,7.050619942801339,4.733674,410.83,26.0,-9999.0,0.0,-9999.0,275.10709083193825,29247.90494513036,89.41537530081612,-9999.0,-9999.0,20,2.6007254464285716,7.050619942801339
2019-01-27,763.0,-0.5117841448102679,3.9158543178013394,7.5213585,411.06,33.0,-9999.0,1.04,-9999.0,275.4698690609056,30163.882963388434,95.38140399439806,-9999.0,-9999.0,27,-0.5117841448102679,3.9158543178013394
2019-02-03,770.0,2.9731663295200894,8.721439906529017,7.5213585,411.28999999999996,40.0,-9999.0,0.0,-9999.0,274.3959330656091,31266.383389099494,86.50969480657253,-9999.0,-9999.0,34,2.9731663295200894,8.721439906529017
2019-02-10,777.0,3.439579554966518,9.956712995256696,9.346041999999999,411.52,47.0,-9999.0,0.41,-9999.0,275.06653047937925,32522.34908945609,102.48102818703164,-9999.0,-9999.0,41,3.439579554966518,9.956712995256696
2019-02-17,784.0,5.801007952008929,11.201398577008929,10.435926,411.75,54.0,-9999.0,0.17,-9999.0,276.1474257281037,33900.393992673125,117.06992516550079,-9999.0,-9999.0,48,5.801007952008929,11.201398577008929
2019-02-24,791.0,3.6930324009486606,12.363115583147321,11.790262,411.805,61.0,-9999.0,0.35,-9999.0,277.43677347403803,35372.48227641147,149.17092926648198,-9999.0,-9999.0,55,3.6930324009486606,12.363115583147321
