"doy","mint_C","maxt_C","airt_C","co2_ppm","swrad_MJm2day","vpd_kPa","precip_kgm2s","wind_spd_ms"
283,5.28,11.08,7.784,440.007,9.656928,0.1028,9.25925925925926e-07,5.079
284,6.28,11.25,9.268,434.754,4.8775392,0.1014,2.08333333333333e-06,4.619
285,5.102,13.156,9.782,434.456,4.6262016,0.1126,3.10300925925926e-05,5.198
286,3.646,12.347,7.357,446.425,6.136992,0.0963,1.4375e-05,3.736
287,2.31,10.56,7.196,443.83,5.304096,0.0177,3.64583333333333e-05,3.428
288,3.62,10.3,7.359,443.023,7.2754848,0.0537,0.000136574074074074,5.486
289,5.61,10.99,8.055,443.665,8.9833536,0.1201,3.4837962962963e-05,5.44
290,7.99,11.85,10.546,438.929,5.8404672,0.0796,4.83796296296296e-05,7.465
291,5.87,10.78,8.77,444.132,6.6361248,0.0514,0,2.433
292,7.1,10.26,9.307,439.283,3.3481728,0.0605,3.99884259259259e-05,2.77
293,9,10.94,10.098,438.791,1.0154592,0.0015,0.000210069444444444,3.186
294,9.82,14.15,11.445,439.33,4.0392864,0.0083,3.61111111111111e-05,1.395
295,10.42,13.26,11.639,446.69,2.9262816,0.0064,7.12962962962963e-05,2.255
296,10.74,14.27,12.139,433.711,2.630448,0.0074,7.41898148148148e-05,1.676
297,8.41,13.21,10.642,443.233,4.3677792,0.0131,1.50462962962963e-05,3.33
298,8.86,13.49,11.144,427.092,3.963168,0.0623,5.90277777777778e-06,3.35
299,10.78,14.29,12.379,425.085,3.8670048,0.0986,7.04861111111111e-05,6.281
300,9.81,14.88,13.081,424.475,3.323808,0.0507,3.35648148148148e-06,3.729
301,10.13,14.68,12.759,423.227,4.98096,0.1128,1.13425925925926e-05,6.272
302,9.37,13.79,11.724,429.74,1.6482528,0.0483,2.30324074074074e-05,3.152
303,10.28,13.04,11.824,424.751,3.20544,0.1061,1.14583333333333e-05,5.405
304,10.42,13.97,12.187,425.012,3.3521472,0.1054,1.57407407407407e-05,4.175
305,7.08,10.46,8.629,438.133,2.0581344,0.0192,4.17824074074074e-05,4.34
306,4.47,10.7,7.78,436.298,1.3372128,0.0268,0.000352083333333333,7.055
307,1.8,9.35,5.994,439.629,5.2563168,0.0638,2.08333333333333e-07,3.528
